author,message,badges,emotes
ilarrja,ma sbaglio o non cè musica,"['moderator', 'share_the_love']",[]
lula414,bene,"['subscriber', 'no_audio']",[]
lollieutum8,nicoinfishylove,['subscriber'],['lolloLuv']
nackos11,yo watsup,"['subscriber', 'no_audio']",[]
forzalakemaggiorelollone,ero troppo impaziente per la live,"['subscriber', 'premium']",[]
alterele,io la sento,"['moderator', 'minecraft_15th_anniversary_celebration']",[]
ilarrja,ah ci sta,"['moderator', 'share_the_love']",[]
ilarrja,comunque giorni ale,"['moderator', 'share_the_love']",[]
itssireee,bene te,['subscriber'],[]
caroll_3,yo cheer cheer,['bits'],['lolloThatscrazyyy']
dania_lacustre17,griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose griddygoose,"['subscriber', 'share_the_love']",['lolloKiwidance']
caroll_3,cheer cheer,['bits'],[]
khadija313,we are comiing,['subscriber'],[]
nackos11,doritos,"['subscriber', 'no_audio']",[]
forzalakemaggiorelollone,ciao lollobe ti amo,"['subscriber', 'premium']",[]
besthanjisung,yoh,['subscriber'],[]
forzalakemaggiorelollone,ti prego non vedo lora,"['subscriber', 'premium']",[]
lollolore__,grazie lollo e moderatori di avermi sbloccato,"['subscriber', 'premium']",[]
lollieutum8,no way che oggi fai gta v crazy,['subscriber'],['lolloPetlollo']
mika_misa_,ilarrja cè controlla le impostazioni del dispositivo che stai usando,"['subscriber', 'premium']",[]
ireeeeee_lacustree,yoo,"['subscriber', 'share_the_love']",[]
ilibridi_iris,ciao gente,['subscriber'],[]
ilarrja,si si ora sento,"['moderator', 'share_the_love']",[]
simplygaiaa,ho solo chimica,"['subscriber', 'sub_gifter']",[]
ilarrja,tendo a doverlo fare,"['moderator', 'share_the_love']",[]
forzalakemaggiorelollone,dai lollo,"['subscriber', 'premium']",[]
zamp_31,zamp subscribed with,"['subscriber', 'premium']",[]
ffred420,cheer ti seguo da quando facevi contenuti per adulti,['bits'],[]
ilarrja,si fai tu,"['moderator', 'share_the_love']",[]
luigi_chad_7,royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald,[],[]
lilweeda,sapete già cosa fare su,"['moderator', 'sub_gifter']",[]
forzalakemaggiorelollone,goblinjam,"['subscriber', 'premium']",[]
rollo2546,teknoydrage,[],[]
danywifedilollo,nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk nerdydhearthk,['share_the_love'],[]
luigi_chad_7,royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette royalpearbaguette,[],[]
k4rmalacustre,nicoinuao nicoinuao nicoinuao,"['subscriber', 'premium']",[]
lollolore__,pokcroagunk pokcroagunk pokcroagunk pokcroagunk pokcroagunk pokcroagunk,"['subscriber', 'premium']",[]
danywifedilollo,nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz,['share_the_love'],[]
er_kiwi07,pokempoleon pokempoleon pokempoleon pokempoleon pokempoleon,['premium'],[]
danywifedilollo,nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz,['share_the_love'],[]
cono365,gulagpdispe,[],[]
danywifedilollo,nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz nerdydtunztunz,['share_the_love'],[]
ilarrja,eh si ale anche a me,"['moderator', 'share_the_love']",[]
luigi_chad_7,royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald,[],[]
therocca_,therocca subscribed with theyve subscribed for months mesi,"['subscriber', 'premium']",[]
sareutum__23,nicoinfishylove nicoinfishylove nicoinfishylove,['premium'],[]
la_penny_broski,xiaoclap xiaoclap xiaoclap xiaoclap xiaoclap xiaoclap xiaoclap xiaopiovonopizze xiaopiovonopizze xiaopiovonopizze xiaopiovonopizze xiaopiovonopizze xiaopiovonopizze,[],[]
veronicaaa44s,yo,"['subscriber', 'no_video']",[]
lolli_viamo,ciao lollone,[],[]
cristo_is_red_,e niente,['no_video'],[]
asileutum,ciao bellissimo,[],[]
julaly0,yo,"['subscriber', 'sub_gifter']",[]
mika_misa_,partypopper partypopper partypopper partypopper partypopper partypopper,"['subscriber', 'premium']",[]
la_silviettina,ciao,[],[]
martina_mao,ciao lollo,[],[]
its_ali271,er lollone,[],[]
antonio6353736,ciao,[],[]
sofieutum13,ciao lollo,[],[]
dory_titt,ciao,[],[]
coolingpanda180,yo,['share_the_love'],[]
beatrice32547,hahahah,[],[]
davideboss9,buonasera,[],[]
sha_x777,ciao,[],[]
gaia_aiaa,yo wassup,[],[]
sareutum__23,play hard,['premium'],[]
ucciass_,yo lollone,['subscriber'],['lolloYessir']
nonloso_lacustre,yo,"['subscriber', 'premium']",['lolloKiwidance']
rebecca_lacustre,lollone,"['subscriber', 'premium']",[]
giolegend27,quando minecraft,[],[]
cecilieutum,ciao,[],[]
fastshot49,ciao a tutti,[],[]
jorisarx,ciao lollo,[],[]
tunder4774,les co,[],[]
vallo6264,sera lollo,[],[]
hwang_er,ciao,[],[]
vxvvxxvxvxv7xxx,yo,['subscriber'],[]
emmaaa4aa,yo,['subscriber'],[]
la_eleeee_,yoyo,['subscriber'],[]
ciaoeutum14,ciao lollo,[],[]
unasemplicetherian,ciao yt,[],[]
gino42q,eccolo,[],[]
dgdbbrbdh,lollo,[],[]
nicolasecci11,yo lollone,['subscriber'],[]
komallllacustre,sera cucciolo miooù,[],[]
mathias01121,yo,"['subscriber', 'premium']",[]
sareutumlacustree17,ciao lollonee,[],[]
xx_matte_xx_yt,ma,[],[]
lolloleu17,yp,[],[]
corraddddd,yo,['subscriber'],[]
eraem007,godo assai,[],[]
sofiii_346,ciao,[],[]
auryxlacustre,yo,"['subscriber', 'bits']",[]
sonorumena,lolo,[],[]
il_ferra10,eccolo,[],[]
bea_00_04,yo,['elden_ring_wylder'],[]
supermas_lacustre,yo,"['subscriber', 'share_the_love']",[]
marilynmanson_socks,lollo,[],[]
danixele17,viva la luce,[],[]
stegaruandreifederico,dove sei,[],[]
anastasia_ciarlettaa,lollo,['subscriber'],[]
fanto_immune,lollone,[],[]
barbie760,lolloo,[],[]
zuzu_ita,lollo,[],[]
seami497,ciao,[],[]
dania_lacustre17,yohoho,"['subscriber', 'share_the_love']",[]
navazzottigiulia06,lollo,[],[]
lo_straru,ciao,[],[]
ilibridi_iris,ciao lollo,['subscriber'],['lolloPetlollo']
michelemignone,lollone,[],[]
lollieutum8,yo come stai,['subscriber'],"['lolloPetlollo', 'DinoDance', 'lolloKiwidance']"
danivsd13,pd,[],[]
chris382b,si lollo,[],[]
il_gatto_gigachad,yo,[],[]
giupyz,ciao,[],[]
cartina_08,xiao,[],[]
leu_auri,yo,[],[]
miriamgiogi,yo,[],[]
giovanni1ai3i,lollo,[],[]
dimaxboss122,ma hey,[],[]
matiiii060,ciao,"['subscriber', 'premium']",[]
giorgiasssvolpi467,ciao lollo,[],[]
la_eleeee_,yo,['subscriber'],[]
itzzspamnap,bruh,"['subscriber', 'no_video']",[]
alfryx8888,ciaoolollo,[],[]
ireeeeee_lacustree,yo,"['subscriber', 'share_the_love']",[]
giulia_gorghi,whatsup,[],[]
gaia_princesss,ciao,[],[]
rebecca_lacustre,yo,"['subscriber', 'premium']",[]
ide_ventaqa,yo,[],[]
leonardo_ez2000,lollo,[],[]
auryxlacustre,ciao,"['subscriber', 'bits']",[]
federic_1656,ciao lollo,[],[]
vhsjcuw,ciao,[],[]
gia_dina010,yo,[],[]
chrylacustree,yo,['premium'],[]
amoikiwifrancy57,dn,['premium'],[]
libiatiglo,yoo lollo,[],[]
only_afk10,ciao lollo,['no_video'],[]
chef_rubio2001,grande lollo,[],[]
azzurrazza,ciao,[],[]
jasser_ouej,yo,[],[]
llthasup,bella lollo,[],[]
fr4nc35c0bello,ciao,[],[]
kia99_lacustre,yo,"['subscriber', 'share_the_love']",[]
lamartiberti15,yo,[],[]
ad_elexx,eccolo,[],[]
giulialacustre_10,yo,['bits'],[]
hoodman2605,lolo,[],[]
simplygaiaa,fortone fortone fortone fortone fortone,"['subscriber', 'sub_gifter']",[]
marijane23_,buonasera lollo,[],[]
fjbdtkmdd,ciola,[],[]
taski12_,viao,[],[]
andrea123333333,beneciao,[],[]
sim0n4_010,yo,[],[]
gia_guaro8,è da un botto che cerco stà live,[],[]
taauwgjs,yo,[],[]
ilmiki_22,lollo che gioca a gta prima di gta,['no_video'],[]
kezavr,ciao,[],[]
beafennix,yo,[],[]
angylacustreutum_17,yo,[],[]
clakky_forlollo,ciao lollo,[],[]
dieghitoxxj,ciao lollo,[],[]
la_sophiiii,ciao lollo mi saluti,[],[]
lynn9810,ciao,[],[]
rebb29,lollo ti amo,['subscriber'],[]
f4n_l3utum,ciao lollo,[],[]
alessandro_bellini09,oh dio mama,[],[]
giadybodano,yo,[],[]
ll_ar4chide,lollo,[],[]
neyjrlacustre10,lollo,[],[]
adriankiller_1990,ciao come stai,[],[]
khadija313,is coming,['subscriber'],[]
lucacutv12,ciao,[],['lolloYessir']
ilovelollolacustrexxx,ciao lollo,[],[]
lilboy4455,ciao youtube,[],[]
soldatogiallo,yo,[],[]
ursvdhcxh,ciao,[],[]
alessiachef_,bro,['bits'],[]
rainn4444,yo,[],[]
drago3875,bobboclat gta v crazy,[],[]
incleone,ciao lollo,[],[]
anastasia_ciarlettaa,yo lollo,['subscriber'],[]
harunnnnnilio,we,[],[]
rebecca_lacustre,yo,"['subscriber', 'premium']",[]
ucciass_,yo,['subscriber'],[]
luigilanzotti,ciao o lolo,[],[]
user_giulia,yo,"['subscriber', 'premium']",[]
pietro_thechnoblaze,yo,[],[]
darkgc71,hola,[],[]
saretta_1723,lollone,[],[]
narcas00,ciao lollo,[],[]
opossum13girl,ciao,[],[]
veronicaaa44s,yo,"['subscriber', 'no_video']",[]
simplygaiaa,bella,"['subscriber', 'sub_gifter']",[]
mypokemon0,ye,[],[]
iifxd3ii,io cero,[],[]
therealsonoioooo,bella lollo,[],[]
pietro_fuma_spinello,ciao lollone,[],[]
mary__lacustre,lollo,[],[]
leonardoserraty,lollo,[],[]
lorenzocaporicc,hg,[],[]
cono365,yo,[],[]
mathias01121,yo o,"['subscriber', 'premium']",[]
patatino2015,we lollino come stai,[],[]
supermas_lacustre,oggi facciamo la storia,"['subscriber', 'share_the_love']",[]
riki020710,ciao lollo,['subscriber'],[]
rebb29,lollol,['subscriber'],[]
andreaw10,ciao,['subscriber'],[]
fortu2504,yo,[],[]
sofia039293,ciao,[],[]
aleeee_1309,lollo,[],[]
rebecca_lacustre,lollo,"['subscriber', 'premium']",[]
bisconya,ciao lollo,"['subscriber', 'premium']",[]
corraddddd,yo,['subscriber'],[]
llmanubale15,yo,[],[]
ddario_o,lollo,"['subscriber', 'premium']",[]
zarettaaa,lollone,[],[]
domlory45,ciao lollo,['subscriber'],[]
matiiii060,lollone,"['subscriber', 'premium']",[]
sonounsigma24264882,sigma lolo,[],[]
mynameisgioieutumlacust17,lollone,[],[]
thesephoro55,yo,[],[]
giuleutum,helly lollone,[],[]
sara_diodovich,ciao lollo,['subscriber'],[]
matteo_lacustre67,ciao,"['subscriber', 'sub_gifter']",[]
ley140,no way lollo che gioca a gta v prima di gta vi,[],[]
gicomo111,ciaoo,[],[]
sara_denaro,yoo,['gone_bananas'],[]
gabri0413,lollo portami la tapioca a casa per piacere,[],[]
la_penny_broski,bella la intro,[],[]
isalacustr3,entrata majestic come al solito,['subscriber'],[]
lorpe_2,ciao lollo,[],['<3']
myselfaury,traka,[],[]
giuseppe_interista,yo,[],[]
ciaoooo62882,yo,[],[]
thutmose_3,yo,[],[]
sasy095,yoyoyoyohoyoy,[],[]
anastasia_ciarlettaa,hola,['subscriber'],[]
la_eleeee_,yo,['subscriber'],[]
khadija313,yo,['subscriber'],[]
ilduro_lacustre,yo kiwi pelato gmail,[],[]
ireeeeee_lacustree,yo,"['subscriber', 'share_the_love']",[]
nonloso_lacustre,yo nicointrain nicointrain nicointrain nicointrain,"['subscriber', 'premium']",[]
matteo_lacustre67,yo,"['subscriber', 'sub_gifter']",[]
angelonoilmitico,angelonoilmitico subscribed at tier theyve subscribed for months currently on a month streak ciao lollo tvb,['subscriber'],[]
mammaoii,ciao lollo,[],[]
bute_op,ma quanto e onfire che anche in prelive gli parte il hypetrain,['premium'],[]
ilibridi_iris,yo,['subscriber'],['lolloPetlollo']
llmirko1020,ciao lollone,"['subscriber', 'premium']",[]
aleksandramicevska,ciao lollone,['subscriber'],[]
gbxgibex,ciao,[],[]
gaia202401,ciao yt,[],[]
eli_y11,ciao lollo,['subscriber'],[]
matti26012013,ciao,[],[]
d4m1_54,lolo,"['subscriber', 'no_video']",[]
0606chiara6060,hola lollone tettone,[],[]
forzalakemaggiorelollone,ciao lollo,"['subscriber', 'premium']",[]
freedarc75,ciao lollo,[],[]
sashagallagher,lollo,[],[]
dani_01929,ciao ciolone,['subscriber'],[]
fanlollolacu,lollone,['subscriber'],[]
carmeloo_34,kiwi,[],[]
giova_swag,yo,[],[]
blackniko15,ciao lollo,[],[]
maxbossocrazy,ciao lolo,[],[]
la_eleeee_,yo,['subscriber'],[]
friduz1,yo,[],[]
rachydb,ciao,[],[]
cecex11,ciao,[],[]
rebb29,lollo,['subscriber'],[]
anton_ciao,yo,[],[]
lisamonettaa,buonasera,[],[]
dania_lacustre17,yo,"['subscriber', 'share_the_love']",[]
forzalakemaggiorelollone,ciao lollo,"['subscriber', 'premium']",[]
veronicaaa44s,yo,"['subscriber', 'no_video']",[]
nackos11,we,"['subscriber', 'no_audio']",[]
cloeutm_lacustre17,ciao lollo,[],[]
nenamdd,ciao,[],[]
fedeita_134,ciao,[],[]
xinxk19,ciaoo,[],[]
matteo_lacustre67,yo,"['subscriber', 'sub_gifter']",[]
ddario_o,yo,"['subscriber', 'premium']",[]
gabry_xg,ciao ciaoa,[],[]
giaduzz_33,lollo,[],[]
elychef2010,ciaoo yt,[],[]
lollloooo013,lollo domani è il mio compleanno,['bits'],[]
executore09,litri di acqua al giorno,['no_video'],[]
samuel_scanu87,ciao lollo,[],[]
jessica_dislessicustre,buonasera,"['subscriber', 'bits']",[]
n1nja007_ita,wee lollo,[],[]
pasche7542,yo,[],[]
kekkoilbellino,yo,[],[]
ll_cristy,yo,"['subscriber', 'twitch_recap_2024']",['lolloLuv']
abichef,yo,"['subscriber', 'share_the_love']",[]
luigi_chad_7,royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald,[],[]
matteo_lacustre67,whassup,"['subscriber', 'sub_gifter']",[]
freddyeu800,yo,[],[]
ggsspptt,ciao lollo,[],[]
ucciass_,ciao lollone,['subscriber'],[]
alylacustre,yo,['subscriber'],[]
its_ali271,yo,[],[]
avrelltel,yo,['no_audio'],[]
hwang_er,soskak,[],[]
sha_x777,ciaao come stai,[],[]
mariaa880,ciao lollo,['subscriber'],[]
loripro27,ciola,[],[]
456micky345,yo,['bits'],[]
antonio6353736,ciao,[],[]
rebecca_lacustre,come vaa,"['subscriber', 'premium']",[]
giovax1405,lollo lacustre che gioca dopo gta pazzesco,['no_audio'],[]
isalacustr3,ciao lollone,['subscriber'],[]
llilaria_lacustreg3,cheer ciao lollo come stai io bene,['subscriber'],[]
alebonforts,we,[],[]
sapessi2317,ciao,['premium'],[]
sofi_fan_del_trio,ciao,[],[]
khadija313,fresh come al solito,['subscriber'],[]
gor_fragiacomo12,we lollone,[],[]
criipstiinaaa,amore mio,[],[]
mugman976,ciao lollo,[],[]
anastasia_ciarlettaa,yo lollonee,['subscriber'],[]
eli_3065,yo,[],[]
dory_titt,yo,[],[]
nikla1012,ciao lollo,"['subscriber', 'premium']",[]
gaia_aiaa,se me lo dici con questi capelli,[],[]
tygreix,edgar è skillato,[],[]
silver_13416,lollo ciao,[],[]
auryxlacustre,yo,"['subscriber', 'bits']",[]
forzalakemaggiorelollone,ciao lollo,"['subscriber', 'premium']",[]
mariaa880,lollone,['subscriber'],[]
blacky2405,yo,"['subscriber', 'premium']",[]
fariszhour,gta v lollo che gioca a gta v ceazy,[],[]
vallo6264,hola,[],[]
mags_011,yo,['subscriber'],[]
sofieutum13,yo lollo come stai,[],[]
17britt,lollo,[],[]
sareutum__23,yo,['premium'],[]
ste_leucustre17,ciao,['subscriber'],[]
lo_straru,ciao,[],[]
unasemplicetherian,wela,[],[]
francypro149,we lollo so nellorto,[],[]
giorix13,bella lollo,[],[]
ninoilvero,perché ieri non eri in livee,[],[]
chiaretta03__,ciao lollone,"['subscriber', 'premium']",[]
giadeuutum,yo,['twitch_recap_2024'],[]
vale_sober,ciao lollo come stai,[],[]
ilmagnificofrancy,ciao,[],[]
leon_di_twitch,pelato,[],[]
coolingpanda180,coolingpanda subscribed with theyve subscribed for months,['share_the_love'],[]
giorgiasssvolpi467,come stai lollo,[],[]
elaijamori,ciao,[],[]
aandrea_ita,ciao lollo,[],[]
vero201110,ciaoo,[],[]
fran1413121215,lollo sei il migliore,[],[]
filippo_alloa,ecco il lollone nazionale,[],[]
giulixixixixi,oggi ho finito scuola godo,[],[]
simplygaiaa,lollo ho solo una materia sotto sono felicissima cheer,"['subscriber', 'sub_gifter']",[]
pasquilight_official,spero che farai grandi cose pelatone mio,[],[]
xx_matte_xx_yt,ma boh,[],[]
steffodapi,grande bro,[],[]
nicoloelfootballdedonno,ciao lollo,[],[]
khadija313,yo,['subscriber'],[]
sofiii_346,ciao,[],[]
azzurrazza,ciao,[],[]
lollieutum8,come stai,['subscriber'],['lolloKiwidance']
ciaoeutum14,si,[],[]
stay_giuly1,yo,[],[]
hanjisung05,yo,[],[]
lolli_viamo,i love you,[],[]
forzalakemaggiorelollone,ciao lollo,"['subscriber', 'premium']",[]
stegaruandreifederico,ciao,[],[]
ll_ar4chide,wassup,[],[]
mariaa880,entrata con lacqua,['subscriber'],[]
a30n_aron_bigo,ciao lollo,['subscriber'],[]
sonorumena,cuaooiioi,[],[]
eli_y11,lorenzo giacomin come ti chiami,['subscriber'],[]
giuly_lolli,ciao yt,[],[]
francy2ol3,forza i pelati,[],[]
la_silviettina,mamma sono famosa,[],[]
lollokingdeidiamanti,ciao,['no_audio'],['lolloWhattheheeel']
la_eleeee_,yo,['subscriber'],[]
pietro_thechnoblaze,yo,[],[]
redformula1,ciaoko briko,[],[]
fastshot49,ciao lollo,[],[]
alfryx8888,ciao,[],[]
mika_misa_,partypopper partypopper,"['subscriber', 'premium']",['lolloBruh']
rebecca_lacustre,yoo,"['subscriber', 'premium']",[]
notfna,si,['subscriber'],[]
cantoni23,yo,['subscriber'],[]
lilboy4455,ciao youtube,[],[]
irenita_kiwi,ciao patato,['no_audio'],[]
auryxlacustre,come stai,"['subscriber', 'bits']",[]
pietro_fuma_spinello,ciao lollo come va,[],[]
annalisa_cerraa,lollo,"['subscriber', 'bits']",[]
nayko_vt,ciao kiwi,[],[]
ivanmastiffs,saltato cloudfare,['subtember_2024'],[]
anastasia_ciarlettaa,yo lolloo,['subscriber'],[]
chris382b,ciao lolo,[],[]
fanlollolacu,nicoindance nicoindance,['subscriber'],[]
forzalakemaggiorelollone,pk ieri non ceri,"['subscriber', 'premium']",[]
ucciass_,si ahajaha,['subscriber'],[]
drago3875,bomboclat gta v crazy,[],[]
al3e26,yo sigma lolloo,[],[]
vhsjcuw,kiwi,[],[]
la_penny_broski,lollo,[],[]
danywifedilollo,yo king nerdydboba nerdydhkheart,['share_the_love'],['bleedPurple']
veronicaaa44s,si,"['subscriber', 'no_video']",[]
angy_seanights,sì twitch è in down da qualche ora,['share_the_love'],[]
ilduro_lacustre,oggi live gta v,[],[]
alessiachef_,nu,['bits'],[]
il_vero_lacustrino,yo gta non me lo aspettavo,[],[]
giulia_gorghi,è saltato tutto,[],[]
0sere0,ciao lollo,[],[]
therealsonoioooo,bella lollo,[],[]
tisana_alla_lavanda,ciao,"['subscriber', 'premium']",[]
libiatiglo,yo,[],[]
cristian0r9lo,handiamo yessir,[],[]
eleutum_lacustre17,yo,[],[]
rebecca_lacustre,si,"['subscriber', 'premium']",[]
asileutum,ti sei riposato spero di si e comunque come stai oggi,[],[]
anastasia_ciarlettaa,gta,['subscriber'],[]
komallllacustre,si,[],[]
la_eleeee_,super gasata,['subscriber'],[]
nackos11,lollo lacustre su gta prima di gta,"['subscriber', 'no_audio']",[]
auryxlacustre,come stai,"['subscriber', 'bits']",[]
lapiu_lacustre,we,[],[]
lisamonettaa,come stai,[],[]
eragon_4567,we lollo,[],[]
hey_elisaaa,kiwi,[],[]
manuelderth,bella lollo,[],[]
nickollslsm,ciao,[],[]
imellethebest,ciaoo lollo,[],[]
emmaxlollo_,yo,"['subscriber', 'premium']",[]
gaia202401,yo,[],[]
isalacustr3,non è successo solo a te ma anche a nicoo,['subscriber'],[]
mynameisgioieutumlacust17,si,[],[]
prime_lacustre,ciao kiwi preferito,[],[]
sofia_xxxc,ciao kiwy,[],[]
annak110,ciao lollino,[],[]
blackniko15,ciao lollo,[],[]
llilaria_lacustreg3,cheer lollo rimango fino alla fine della live,['subscriber'],[]
carmeloo_34,kiwi,[],[]
ley140,no way lollo che gioca a gta v prima di gta vi,[],[]
sasy095,ciao yt,[],[]
sofi_fan_del_trio,vai,[],[]
kekkoilbellino,i love lollo lscustre,[],[]
itssireee,ciaoo patatoo,['subscriber'],[]
peppe_bosca,ciao lollo,[],[]
adrianobellom,ciao,[],[]
lula414,kv dove sei,"['subscriber', 'no_audio']",[]
gaia_aiaa,lollo che gioca a gta v prima di gta vi è crazy,[],[]
elychef2010,ciao gente di yt,[],[]
riccardo_piva23,ciao,[],[]
peppinoforzaviola,yo,[],[]
luigi_chad_7,royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald royalpearbald,[],[]
serpentehsyd,ciao,[],[]
ioiovivai_kiwi,ciao lollo,[],[]
giuseppe_interista,ole,[],[]
fanlollolacu,si non mi faceva entrare nella live,['subscriber'],[]
k4rmalacustre,owa owa,"['subscriber', 'premium']",[]
diamont5050,diamont subscribed with theyve subscribed for months currently on a month streak gta in live lets go,"['subscriber', 'premium']",[]
vallo6264,ma,[],[]
its_ali271,oggi ho fatto lesame di matematica,[],[]
ius20,quando fai minecraft,[],[]
ll_kiw,lollo su gta prima di gta,[],[]
cristo_is_red_,come pensavo che avevi rubato il,['no_video'],[]
sono_una_volpee,lollo oggi ce nicy savage,[],[]
andrea12344653,ciao,[],[]
llthasup,ciao,[],[]
silver_13416,sei il migliore,[],[]
anastasia_ciarlettaa,hello bro,['subscriber'],[]
beatrice32547,ciao lollone,[],[]
annina_17,ciao lolloo sono in tempo,[],[]
opossum13girl,lollo,[],[]
pasquilight_official,ciao loollo ciao yt,[],[]
ilil_matte_ilil,ililmatteilil subscribed with theyve subscribed for months yo mese lollone tvb,"['subscriber', 'premium']",[]
nenamdd,ciao,[],[]
realess17,ciao,[],[]
lollieutum8,cole stai,['subscriber'],"['DinoDance', 'lolloKiwidance']"
robyreal_27,ciao bro,[],[]
sebasebking,bella lore,[],[]
matteo_lacustre67,ciao lollo come stai oggi,"['subscriber', 'sub_gifter']",[]
il_ferra10,abbellissimo,[],[]
ciaoeutum14,lollo ciao,[],[]
clakky_forlollo,lolloo come stai,[],[]
sushidushj,ciaoo,[],[]
narcas00,ciao lollo,[],[]
zarettaaa,ciao lollo,[],[]
paolo_zanatta_italia,yo,[],[]
tygreix,lollo,[],[]
thompson0610,lollo,[],[]
nicolasecci11,lollo si gta prima di gta vi,['subscriber'],[]
user_giulia,stasera sto super gasata,"['subscriber', 'premium']",[]
pietros2011,lollo sono a,[],[]
